# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	299031
#@/user_id	1dd0fc4f-c87c-47d9-ba60-5efabec58bf4
a 	啊	c=1051 d=1.20603 t=299031
an li shuo 	按理說	c=5 d=1.54607 t=160074
an me 	按麼	c=1 d=1 t=281837
an mian yao 	安眠藥	c=1 d=1 t=125894
an mo 	按摩	c=1 d=1 t=241844
an na 	安娜	c=1 d=1 t=247550
an ni 	安妮	c=5 d=1 t=253964
an niu 	按鈕	c=276 d=0.0806882 t=299031
an niu ma 	按鈕嗎	c=1 d=1 t=29498
an nuo 	按挪	c=1 d=1 t=63855
an pai 	安排	c=16 d=1.00852 t=260961
an qi 	安琦	c=1 d=1 t=138951
an quan 	安全	c=35 d=1 t=288235
an quan men 	安全門	c=1 d=1 t=209693
an quan ri 	安全日	c=1 d=1 t=161347
an shan 	鞍山	c=1 d=1 t=241805
an shang 	按上	c=1 d=1 t=229164
an shi 	按時	c=1 d=1 t=116203
an shu 	桉樹	c=2 d=1 t=101238
an shun xu 	按順序	c=3 d=1.74097 t=251838
an tian 	按天	c=2 d=1.98511 t=196717
an wei 	安危	c=2 d=1 t=26015
an xia 	按下	c=1 d=1 t=178231
an xiao chuan 	安小川	c=1 d=1 t=218291
an xu 	按序	c=1 d=1 t=248940
an xu 	按需	c=9 d=2.85558 t=283114
an xu jia zai 	按需加載	c=1 d=1 t=243791
an xu yin ru 	按需引入	c=1 d=1 t=154542
an zhao 	按照	c=26 d=1 t=282797
an zhe 	按着	c=2 d=1 t=107591
an zheng 	按整	c=3 d=1 t=69470
an zhu 	按住	c=1 d=1 t=290714
an zhuang 	安裝	c=85 d=0.0780817 t=299031
an zhuang bao 	安裝包	c=8 d=1 t=243956
an zhuang de 	安裝的	c=1 d=1 t=229261
an zhuang fei 	安裝費	c=1 d=1 t=263443
an zhuang wan 	安裝完	c=1 d=1 t=88155
an zhuang wei zhi 	安裝位置	c=1 d=1 t=107011
an zhun 	案准	c=1 d=1 t=265742
an zhuo 	安卓	c=23 d=1.83527 t=217439
ang 	昂	c=248 d=0.22238 t=299031
ang ang 	昂昂	c=1 d=0.1 t=173522
ang gui 	昂貴	c=3 d=1 t=289939
ang hai 	昂還	c=2 d=1 t=116777
ao 	奧	c=2 d=0.1 t=213438
ao 	熬	c=4 d=1 t=239896
ao ao 	熬熬	c=1 d=1 t=231763
ao ben 	奥本	c=0 d=0.1 t=257815
ao ben hai mo 	奥本海默	c=1 d=1 t=257816
ao bi 	澳幣	c=1 d=1 t=229965
ao cheng 	奧城	c=7 d=1 t=289182
ao cheng li 	奧城裏	c=1 d=1 t=172985
ao cheng shang ye guang chang 	奧城商業廣場	c=1 d=1 t=37526
ao da li ya 	澳大利亞	c=4 d=1 t=236986
ao dao 	熬到	c=0 d=0.1 t=239802
ao dao tou 	熬到投	c=1 d=1 t=239803
ao la 	奧拉	c=1 d=1 t=84329
ao long dan 	奧龍膽	c=1 d=1 t=143628
ao men 	澳門	c=1 d=1 t=162898
ao ping bi 	奧屏蔽	c=1 d=1 t=25623
ao qing fo 	嗷清佛	c=1 d=1 t=7814
ao te 	奧特	c=2 d=1 t=177792
ao te man 	奧特曼	c=3 d=1 t=192726
ao ye 	熬夜	c=1 d=1 t=282971
ao yun 	奧運	c=1 d=1 t=26924
ao zhou 	澳洲	c=3 d=1 t=250260
ba 	八	c=4 d=1 t=242514
ba 	叭	c=1 d=1 t=9553
ba 	吧	c=4622 d=2.84947 t=299031
ba 	巴	c=2 d=1 t=227621
ba 	扒	c=1 d=1 t=26973
ba 	把	c=383 d=0.538807 t=299031
ba 	拔	c=1 d=1 t=189002
ba 	爸	c=3 d=1.90937 t=255100
ba 	靶	c=1 d=1 t=125124
ba ang 	吧昂	c=1 d=1 t=225748
ba ba 	巴巴	c=1 d=1 t=66986
ba ba 	爸爸	c=1 d=1 t=66987
ba bai 	八百	c=0 d=0.1 t=148171
ba bai hui 	八百回	c=1 d=1 t=148172
ba bu de 	巴不得	c=1 d=1 t=171828
ba ge 	八個	c=0 d=0.1 t=29133
ba ge xiao shi 	八個小時	c=1 d=1 t=29134
ba gua 	八卦	c=2 d=1.00664 t=228774
ba ji 	巴唧	c=1 d=0.1 t=292532
ba jian 	拔尖	c=1 d=1 t=132360
ba jing 	八景	c=0 d=0.1 t=170079
ba kong 	吧空	c=1 d=1 t=30634
ba kong 	把控	c=2 d=1 t=219187
ba kong neng li 	把控能力	c=1 d=1 t=30635
ba le 	拔了	c=1 d=1 t=180675
ba lei te 	巴雷特	c=1 d=1 t=170153
ba li 	巴黎	c=0 d=0.1 t=288351
ba li tie ta 	巴黎鐵塔	c=1 d=1 t=288352
ba ling jiu ling 	八零九零	c=1 d=1 t=6377
ba mian 	疤面	c=1 d=1 t=244696
ba ni 	把你	c=1 d=1 t=23314
ba qi 	霸氣	c=1 d=1 t=291216
ba sa 	巴薩	c=1 d=1 t=42138
ba shi 	八十	c=0 d=0.1 t=220435
ba shi 	巴士	c=1 d=1 t=241738
ba shi qi 	八十七	c=1 d=1 t=220436
ba shou 	把手	c=1 d=1 t=60472
ba ta 	把它	c=1 d=1 t=79569
ba wang 	霸王	c=0 d=0.1 t=235112
ba wang tiao kuan 	霸王條款	c=1 d=1 t=235113
ba wei 	八位	c=1 d=1 t=165636
ba wo 	把我	c=1 d=1 t=121687
ba wo 	把握	c=1 d=1 t=121688
ba xi 	巴西	c=2 d=1 t=242893
ba ya 	拔牙	c=1 d=1 t=221710
ba yue 	八月	c=3 d=1 t=242581
ba zhan 	扒站	c=1 d=1 t=252989
ba zi 	把子	c=0 d=0.1 t=266604
ba zi rou 	吧子肉	c=1 d=1 t=266603
ba zi rou 	把子肉	c=1 d=1 t=266605
bai 	唄	c=133 d=0.99005 t=299031
bai 	拜	c=1 d=1 t=82218
bai 	掰	c=1 d=1 t=192935
bai 	白	c=24 d=0.00379148 t=299031
bai 	百	c=2 d=1 t=244293
bai ban 	白板	c=2 d=1 t=130844
bai ban 	白班	c=2 d=1.99501 t=28394
bai cai 	白菜	c=1 d=1 t=157271
bai che 	掰撤	c=1 d=1 t=213240
bai che 	白扯	c=2 d=1 t=285372
bai di 	白底	c=1 d=1 t=45004
bai du 	擺渡	c=0 d=0.1 t=114514
bai du 	百度	c=26 d=1 t=260471
bai du bai ke 	百度百科	c=1 d=1 t=141434
bai du di tu 	百度地圖	c=1 d=1 t=240643
bai du yun 	百度雲	c=2 d=1 t=232900
bai e gao jiao zhu 	白額高脚蛛	c=1 d=1 t=242367
bai fei 	白費	c=1 d=1 t=208041
bai fen bai 	百分百	c=2 d=1 t=112147
bai fen bi 	百分比	c=4 d=1.00018 t=252017
bai fen zhi 	百分之	c=5 d=1 t=242641
bai gei 	敗給	c=1 d=1 t=239727
bai gei 	白给	c=1 d=1 t=239728
bai huo 	擺活	c=1 d=1 t=84241
bai jiu 	擺酒	c=1 d=1 t=242408
bai jiu 	白酒	c=1 d=1 t=242409
bai ke 	百科	c=7 d=1 t=241959
bai lan 	擺爛	c=1 d=1 t=142703
bai leng 	擺楞	c=1 d=1 t=216709
bai mai 	白買	c=1 d=1 t=274722
bai ming dan 	白名單	c=1 d=1 t=101383
bai pao 	白跑	c=1 d=1 t=261186
bai pi shu 	白皮書	c=1 d=1 t=219116
bai ping 	白屏	c=12 d=1.99501 t=246776
bai ren 	拜仁	c=1 d=1 t=91155
bai ren 	白人	c=1 d=1 t=91158
bai se 	白色	c=9 d=1 t=271135
bai shi 	百事	c=1 d=1 t=39536
bai shou 	拜受	c=0 d=0.1 t=87471
bai shou 	百獸	c=1 d=1 t=76286
bai tan 	擺攤	c=1 d=1 t=203458
bai tuo 	擺脫	c=1 d=1 t=136051
bai xia 	白瞎	c=1 d=1 t=287970
bai ye 	白夜	c=1 d=1 t=236756
bai yi 	百億	c=1 d=1 t=180477
bai yuan 	百元	c=3 d=1 t=275085
bai zheng 	白整	c=1 d=1 t=293205
ban 	半	c=22 d=1.00001 t=290518
ban 	拌	c=1 d=1 t=207588
ban 	搬	c=15 d=1 t=290519
ban 	板	c=2 d=1 t=263156
ban 	版	c=78 d=1.00005 t=296660
ban 	班	c=12 d=1 t=272410
ban 	瓣	c=1 d=1 t=192936
ban 	般	c=1 d=1 t=149110
ban 	辦	c=32 d=1 t=288916
ban ban 	辦班	c=2 d=1 t=118609
ban bao 	半包	c=2 d=1.51171 t=215247
ban bao 	班報	c=1 d=1 t=39095
ban ben 	版本	c=229 d=0.0692522 t=299031
ban ben fa 	版本發	c=1 d=1 t=227087
ban ben hao 	版本號	c=69 d=1.8781 t=294345
ban ben xia 	版本下	c=1 d=1 t=222185
ban bu liao 	搬不了	c=1 d=1 t=2469
ban ci 	班次	c=4 d=1.96079 t=130520
ban ci 	頒賜	c=1 d=1 t=43937
ban dao 	半道	c=1 d=1 t=86183
ban dao 	搬到	c=2 d=1 t=265685
ban dian 	半點	c=0 d=0.1 t=242666
ban dian xin 	半點心	c=3 d=1 t=247874
ban fa 	辦法	c=20 d=1 t=294748
ban fa 	頒發	c=1 d=1 t=247926
ban fan 	拌飯	c=0 d=0.1 t=265134
ban ge 	半個	c=1 d=1 t=230610
ban ge xiao shi 	半個小時	c=5 d=1 t=293298
ban geng 	版更	c=1 d=1 t=35989
ban gong 	辦公	c=27 d=1.99005 t=283037
ban gong ma 	辦公嗎	c=1 d=1 t=81015
ban gong shi 	辦公室	c=1 d=1 t=87346
ban gong wei 	辦公位	c=1 d=1 t=84174
ban gong yong pin 	辦公用品	c=1 d=1 t=241565
ban gong zhuo 	辦公桌	c=1 d=1 t=167799
ban hao 	辦好	c=1 d=1 t=6500
ban hu kou 	辦戶口	c=1 d=1 t=157667
ban hun li 	版婚禮	c=1 d=1 t=80722
ban ji 	班級	c=6 d=1.98511 t=240593
ban jia 	搬家	c=2 d=1.94176 t=263221
ban jiao shi 	絆腳石	c=1 d=1 t=290698
ban jin ba liang 	半斤八兩	c=1 d=1 t=185065
ban jing 	半徑	c=1 d=1 t=158186
ban le 	辦了	c=1 d=1 t=175031
ban li 	辦理	c=15 d=1 t=283972
ban li ren 	辦理人	c=1 d=1 t=269452
ban lou 	板樓	c=1 d=1 t=115597
ban lv 	伴侶	c=2 d=1 t=232228
ban ma 	斑馬	c=2 d=1 t=115102
ban ma wen 	斑馬紋	c=5 d=1.97045 t=115112
ban meng ban xing 	半梦半醒	c=3 d=1 t=212333
ban nian 	半年	c=4 d=1 t=128669
ban quan 	版權	c=1 d=1 t=132278
ban tian 	半天	c=14 d=1.00001 t=296155
ban ting 	辦停	c=2 d=1.00002 t=276558
ban wa gong 	搬瓦工	c=2 d=1 t=225401
ban wa gong 	版瓦工	c=3 d=1.01813 t=160273
ban wan 	辦完	c=1 d=1 t=223252
ban wen 	斑紋	c=1 d=1 t=248203
ban xia lai 	辦下來	c=1 d=1 t=204322
ban xiao shi 	半小時	c=5 d=1 t=287969
ban yan 	扮演	c=3 d=1.01457 t=244732
ban yan 	板岩	c=1 d=1 t=243153
ban yuan 	半圓	c=1 d=1 t=7193
ban yun 	搬運	c=1 d=1 t=83411
ban zhen 	半真	c=2 d=1.00001 t=49408
ban zhen hao 	半真好	c=2 d=1 t=50492
ban zhou fang 	版周方	c=1 d=1 t=111604
ban zhuang feng 	版裝瘋	c=1 d=1 t=143924
ban zou 	伴奏	c=4 d=1 t=242466
ban zu 	班組	c=28 d=1 t=229654
bang 	幫	c=12 d=1 t=293951
bang 	榜	c=1 d=1 t=111428
bang 	磅	c=1 d=1 t=147175
bang 	綁	c=10 d=1 t=146528
bang bang mang 	幫幫忙	c=1 d=1 t=117050
bang ding 	綁定	c=39 d=0.1 t=292478
bang ding guan xi 	綁定關係	c=1 d=1 t=21046
bang ding qian bao 	綁定錢包	c=1 d=1 t=292479
bang ge mang 	幫個忙	c=1 d=1 t=264435
bang le 	幫了	c=1 d=1 t=166192
bang mang 	幫忙	c=48 d=1.76703 t=298526
bang mang wen wen 	幫忙問問	c=1 d=1 t=298090
bang men 	邦門	c=1 d=1 t=59328
bang meng 	綁孟	c=1 d=1 t=233759
bang mian 	幫面	c=3 d=1.01795 t=264623
bang ni 	幫你	c=1 d=1 t=295793
bang nin 	幫您	c=2 d=1.1097 t=8007
bang qiu 	棒球	c=1 d=1 t=143778
bang shou 	幫手	c=1 d=1 t=210656
bang wo 	幫我	c=15 d=1.92312 t=242945
bang zhe 	幫着	c=1 d=1 t=132737
bang zhu 	幫助	c=5 d=1 t=284741
bao 	保	c=2 d=0.80822 t=277000
bao 	包	c=278 d=0.0767359 t=299031
bao 	報	c=60 d=1 t=292129
bao 	寶	c=2 d=1 t=268013
bao 	暴	c=1 d=1 t=9554
bao 	爆	c=1 d=1 t=279779
bao 	飽	c=2 d=1.99501 t=106049
bao bao 	寶寶	c=1 d=0.1 t=96473
bao bei 	報備	c=4 d=1.97045 t=215434
bao biao 	保鏢	c=2 d=1.9802 t=44650
bao biao 	報表	c=158 d=1.00865 t=297202
bao bu bao cun 	包不保存	c=1 d=1 t=82149
bao bu dao 	包不到	c=1 d=1 t=159213
bao can 	報餐	c=1 d=1 t=102630
bao cang 	爆倉	c=1 d=1 t=287389
bao cang 	爆艙	c=1 d=1 t=287388
bao chi 	保持	c=52 d=1.00006 t=297562
bao chi yi zhi 	保持一致	c=2 d=1.00001 t=211616
bao cun 	保存	c=294 d=1.08818 t=296885
bao cun de 	保存的	c=1 d=1 t=127279
bao cun dian 	保存點	c=1 d=1 t=295364
bao cuo 	報錯	c=287 d=0.000450569 t=299031
bao dan 	爆單	c=1 d=1 t=195797
bao dao 	報道	c=2 d=1 t=173490
bao de 	報的	c=1 d=1 t=149153
bao ding 	保定	c=1 d=1 t=256237
bao ding 	寶鼎	c=1 d=1 t=256236
bao fei 	報廢	c=14 d=1.40219 t=226283
bao fei nian xian 	報廢年限	c=1 d=1 t=31410
bao feng 	暴風	c=1 d=0.1 t=230241
bao feng yi zu 	暴風一族	c=2 d=1.99501 t=230243
bao fu 	包袱	c=1 d=1 t=288360
bao gao 	報告	c=4 d=1.85214 t=226649
bao ge 	飽嗝	c=4 d=1.00002 t=49768
bao guan 	保管	c=2 d=1 t=296040
bao guan li 	包管理	c=4 d=0.1 t=271214
bao guan li gong ju 	包管理工具	c=1 d=1 t=271215
bao guan li qi 	包管理器	c=4 d=1 t=263796
bao guan ren 	保管人	c=1 d=1 t=124905
bao guo 	包裹	c=12 d=1.93707 t=265579
bao han 	包含	c=13 d=1.97531 t=279196
bao han 	包涵	c=48 d=1.70242 t=297112
bao han kuai 	包含塊	c=3 d=2.76059 t=259284
bao hao 	保號	c=2 d=1.31349 t=249647
bao hu 	保護	c=2 d=1 t=298184
bao ji 	包機	c=2 d=1.97045 t=83141
bao jia 	報價	c=7 d=0.00121259 t=299031
bao jian 	寶劍	c=1 d=1 t=15880
bao jiao zi 	包餃子	c=1 d=1 t=212287
bao jie 	保潔	c=2 d=1 t=288676
bao jing 	報警	c=39 d=1.00699 t=244335
bao jing ji lu 	報警記錄	c=2 d=1 t=23099
bao jiu 	保久	c=1 d=1 t=255805
bao jiu ye 	包就業	c=1 d=1 t=57441
bao kao 	報考	c=1 d=1 t=168212
bao kun 	包困	c=1 d=1 t=123470
bao kuo 	包括	c=66 d=1 t=292396
bao le 	飽了	c=4 d=1 t=263920
bao li 	暴力	c=1 d=1 t=176582
bao li jin 	寶麗金	c=1 d=1 t=241728
bao liu 	保留	c=34 d=1.98056 t=286494
bao lu 	暴露	c=21 d=1 t=296249
bao luan 	暴亂	c=2 d=1.00815 t=180512
bao ma 	寶馬	c=1 d=1 t=192722
bao mang 	包忙	c=1 d=1 t=237615
bao mi 	保密	c=1 d=1.09501 t=231598
bao mi xie yi 	保密協議	c=1 d=1 t=231599
bao mo 	薄膜	c=1 d=1 t=28729
bao ni ping an 	保你平安	c=2 d=1 t=227051
bao nuan 	保暖	c=1 d=1 t=217483
bao nuan 	飽暖	c=1 d=1 t=217482
bao pi 	暴皮	c=1 d=1 t=222560
bao qian 	抱歉	c=4 d=1.81873 t=258836
bao sha cuo 	報啥錯	c=1 d=1 t=191307
bao shi jie 	保時捷	c=1 d=1 t=125963
bao shou 	抱守	c=1 d=1 t=185077
bao shou 	飽受	c=0 d=0.1 t=185073
bao shou gu ji 	飽受估計	c=1 d=1 t=185074
bao ta 	寶塔	c=2 d=1.98511 t=291177
bao wei zhan 	保衛戰	c=1 d=1.1 t=232688
bao wen 	保溫	c=1 d=1 t=255613
bao wen 	報文	c=4 d=1.12548 t=248910
bao wen duan 	報文段	c=2 d=1.97045 t=248551
bao wen zhong 	報文中	c=1 d=1 t=248207
bao xian 	保險	c=8 d=1.00603 t=291257
bao xian 	保鮮	c=0 d=0.1 t=290246
bao xian dai 	保險袋	c=1 d=1 t=290241
bao xian dai 	保鮮袋	c=1 d=1 t=290247
bao xian xiang 	保險箱	c=1 d=1 t=148031
bao xiu 	報修	c=2 d=1 t=263997
bao xiu qi 	保修期	c=1 d=1 t=193357
bao yang 	保養	c=16 d=1 t=236148
bao yin 	爆音	c=1 d=1 t=152842
bao you 	包郵	c=1 d=1 t=38538
bao you 	抱有	c=1 d=1 t=38537
bao zhang 	報障	c=3 d=1.5749 t=234860
bao zheng 	保證	c=14 d=1.00715 t=296936
bao zhi 	爆汁	c=2 d=1 t=289682
bao zhuang 	包裝	c=3 d=1 t=283852
bao zhun 	保準	c=1 d=1 t=190044
bao zi 	包子	c=14 d=1 t=265137
bao zou 	暴走	c=2 d=0.1 t=216858
bei 	倍	c=5 d=1 t=281728
bei 	北	c=7 d=1 t=270638
bei 	悲	c=1 d=1 t=242130
bei 	背	c=6 d=1.00006 t=232077
bei 	被	c=227 d=0.0590957 t=299031
bei ai 	悲哀	c=2 d=1 t=156381
bei ai 	被愛	c=1 d=1 t=127012
bei an 	備案	c=3 d=1 t=126916
bei bei 	背背	c=1 d=1 t=230182
bei cai 	被裁	c=1 d=1 t=247299
bei chen 	北辰	c=4 d=1.98023 t=274347
bei ci 	被辞	c=1 d=1 t=290508
bei da 	北大	c=2 d=1.14515 t=295839
bei dai li 	被代理	c=1 d=1 t=80912
bei dan ci 	背單詞	c=2 d=1 t=272435
bei dan zi 	被單子	c=1 d=1 t=164812
bei dao 	北島	c=6 d=1.46364 t=240137
bei de 	背的	c=1 d=1 t=199760
bei dian 	備點	c=2 d=1.96079 t=189463
bei dong 	被動	c=1 d=1 t=282424
bei dui 	背對	c=1 d=1 t=209034
bei er 	貝爾	c=0 d=0.1 t=57200
bei er qu xian 	貝爾曲線	c=2 d=1.97531 t=57206
bei fang 	北房	c=1 d=1 t=40321
bei fang 	北方	c=6 d=1 t=284449
bei fen 	備份	c=10 d=1 t=288186
bei fen 	輩份	c=1 d=1 t=292060
bei feng 	被封	c=1 d=1 t=17836
bei gao ren 	被告人	c=1 d=1 t=255971
bei jian 	備件	c=73 d=1.99005 t=230391
bei jian lei xing 	備件類型	c=1 d=1 t=64389
bei jing 	北京	c=69 d=0.0072265 t=299031
bei jing 	背景	c=10 d=1.75201 t=297337
bei jing nan 	北京南	c=3 d=1.15032 t=273169
bei jing se 	背景色	c=6 d=1 t=298655
bei jing tu 	背景圖	c=1 d=1 t=206530
bei jing xi 	北京西	c=1 d=1 t=258904
bei jing yin hang 	北京銀行	c=1 d=1 t=264385
bei jing zhan 	北京站	c=2 d=1.90937 t=270624
bei ju 	悲劇	c=1 d=1 t=104767
bei ke 	貝殼	c=4 d=1 t=151128
bei kou 	被扣	c=1 d=1 t=237865
bei ren 	被人	c=1 d=1 t=209991
bei sen 	北森	c=1 d=1 t=34692
bei shang 	北上	c=0 d=0.191393 t=132194
bei shang guang hang 	北上廣杭	c=1 d=1 t=132195
bei shang guang shen 	北上廣深	c=1 d=1 t=132177
bei shu 	倍數	c=2 d=1 t=50701
bei tong 	北通	c=5 d=4.45836 t=10599
bei wan 	背完	c=1 d=1 t=272436
bei xuan 	備選	c=5 d=1 t=272445
bei ying 	背影	c=2 d=1.00053 t=224344
bei yong 	備用	c=20 d=1 t=146728
bei zhai 	北宅	c=2 d=1.99501 t=257262
bei zhan 	北站	c=1 d=1 t=270580
bei zhu 	備註	c=37 d=1.90032 t=277289
bei zi 	杯子	c=1 d=1 t=87348
bei zi 	被子	c=1 d=1 t=266906
ben 	奔	c=1 d=1 t=261832
ben 	本	c=10 d=1 t=280579
ben 	笨	c=1 d=1 t=87350
ben ban 	本版	c=1 d=1 t=255224
ben chuang 	本牀	c=1 d=1 t=14280
ben ci 	本次	c=3 d=1 t=279635
ben di 	本地	c=125 d=1.00383 t=298722
ben di bao 	本地寶	c=22 d=1 t=283965
ben di cun chu 	本地存儲	c=1 d=1 t=25553
ben di fu wu qi 	本地服務器	c=1 d=1 t=248702
ben di hua 	本地化	c=2 d=1.99501 t=180138
ben di lian jie 	本地鏈接	c=1 d=1 t=53146
ben ji ben 	本基本	c=1 d=1 t=142811
ben ji du 	本季度	c=1 d=1 t=217080
ben jin 	本金	c=1 d=1 t=132622
ben ke 	本科	c=22 d=1 t=272415
ben lai 	本來	c=14 d=1 t=272183
ben pao 	奔跑	c=1 d=1 t=90300
ben qi 	本期	c=3 d=1 t=212598
ben ren 	本人	c=12 d=1.58337 t=278098
ben ren 	笨人	c=1 d=1 t=124889
ben shang 	本上	c=1 d=1 t=98898
ben shen 	本身	c=14 d=1.3413 t=280555
ben tu 	本土	c=1 d=1 t=75814
ben ye 	本頁	c=1 d=1 t=259919
ben ying 	本應	c=0 d=0.1 t=148441
ben ying yong 	本應用	c=1 d=1 t=148442
ben yue 	本月	c=1 d=1 t=44318
ben zhi 	本質	c=2 d=1 t=141903
ben zhi shang 	本質上	c=1 d=1 t=298347
ben zhou 	本週	c=113 d=1.00368 t=283284
ben zhu 	笨豬	c=1 d=1 t=175566
beng 	崩	c=3 d=1 t=259419
beng 	泵	c=1 d=1 t=6569
beng 	甭	c=0 d=0.1 t=257816
beng 	繃	c=1 d=1 t=257818
beng 	蹦	c=1 d=1 t=18979
beng bu zhu le 	甭不住了	c=1 d=1 t=257817
beng kui 	崩潰	c=3 d=1 t=282420
beng lai 	崩來	c=1 d=1 t=135429
bi 	嗶	c=1 d=1 t=17520
bi 	幣	c=3 d=0.107409 t=297551
bi 	必	c=0 d=0.1 t=203336
bi 	比	c=108 d=0.00603608 t=299031
bi 	筆	c=1 d=1 t=280164
bi 	逼	c=8 d=1 t=282933
bi 	避	c=1 d=1 t=298986
bi 	閉	c=0 d=0.1 t=199655
bi bao 	閉包	c=24 d=1.00011 t=259784
bi bi 	筆筆	c=1 d=1 t=156799
bi bi 	避避	c=1 d=1 t=276309
bi bu ke shao 	必不可少	c=1 d=1 t=138110
bi bu liao 	比不了	c=1 d=1 t=112485
bi chu 	壁櫥	c=1 d=1 t=170273
bi chuan 	必傳	c=2 d=1 t=123531
bi chuan 	祕傳	c=1 d=1 t=47264
bi ci 	彼此	c=1 d=1 t=261934
bi cu 	逼促	c=2 d=1 t=177107
