# Rime user dictionary
#@/db_name	rime_mint
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	331009
#@/user_id	SyncTemp
a 	啊	c=1139 d=1.2665 t=331009
ai zhou 	矮轴	c=2 d=1.96561 t=330947
an 	安	c=3 d=6.69159e-10 t=331009
an 	按	c=111 d=0.366823 t=331009
an bian 	岸边	c=1 d=0 t=331009
an bu liao 	按不了	c=1 d=0 t=331009
an bu xia qu 	按不下去	c=1 d=0 t=331009
an cuo 	安厝	c=2 d=1.99218e-189 t=331009
an cuo 	按错	c=1 d=1.00359e-189 t=331009
an dao li 	按道理	c=1 d=5.26093e-33 t=331009
an dun 	安顿	c=3 d=5.22634e-73 t=331009
an er 	庵儿	c=1 d=0 t=331009
an fang 	安放	c=1 d=1.22267e-306 t=331009
an fang 	安防	c=0 d=2.17133e-05 t=331009
an fang ji di fang lai kan 	安防及地方来看	c=1 d=0.000218221 t=331009
an ge 	安格	c=7 d=1.38094e-150 t=331009
an ge wo 	安格我	c=1 d=0 t=331009
an hei 	暗黑	c=9 d=1.5455e-151 t=331009
an jian 	按键	c=11 d=5.66067e-71 t=331009
an jing 	安静	c=1 d=0 t=331009
an jiu 	暗九	c=1 d=0 t=331009
an kai 	按开	c=1 d=0 t=331009
an li 	按理	c=4 d=3.02503e-287 t=331009
an li 	案例	c=11 d=1.54586e-63 t=331009
an li 	谙历	c=1 d=0 t=331009
an li lai shuo 	按理来说	c=1 d=0 t=331009
an li shuo 	按理说	c=7 d=8.05555e-16 t=331009
an me 	按么	c=1 d=4.61003e-38 t=331009
an mian yao 	安眠药	c=1 d=0 t=331009
an mo 	按摩	c=1 d=6.60705e-125 t=331009
an na 	安娜	c=1 d=1.62341e-112 t=331009
an ni 	安妮	c=5 d=1.37484e-98 t=331009
an niu 	按钮	c=355 d=0.0806882 t=331009
an niu ma 	按钮吗	c=1 d=0 t=331009
an nuo 	按挪	c=1 d=0 t=331009
an pai 	安排	c=17 d=8.31051e-59 t=331009
an qi 	安琦	c=1 d=0 t=331009
an quan 	安全	c=41 d=2.6884e-17 t=331009
an quan men 	安全门	c=1 d=1.01157e-194 t=331009
an quan ri 	安全日	c=1 d=1.05437e-299 t=331009
an shan 	鞍山	c=1 d=5.43651e-125 t=331009
an shang 	按上	c=1 d=1.9308e-152 t=331009
an shi 	按时	c=1 d=0 t=331009
an shu 	桉树	c=2 d=0 t=331009
an shun xu 	按顺序	c=3 d=5.78754e-103 t=331009
an tian 	按天	c=2 d=1.33585e-222 t=331009
an wei 	安危	c=2 d=0 t=331009
an xia 	按下	c=1 d=4.85437e-263 t=331009
an xiao chuan 	安小川	c=1 d=4.73497e-176 t=331009
an xu 	按序	c=1 d=1.69346e-109 t=331009
an xu 	按需	c=9 d=7.80491e-35 t=331009
an xu jia zai 	按需加载	c=1 d=1.11651e-120 t=331009
an xu yin ru 	按需引入	c=1 d=1.76248e-314 t=331009
an zhao 	按照	c=30 d=1.94813e-22 t=331009
an zhao gui ding 	按照规定	c=1 d=1 t=307182
an zhe 	按着	c=2 d=0 t=331009
an zheng 	按整	c=3 d=0 t=331009
an zhu 	按住	c=1 d=8.70691e-19 t=331009
an zhuang 	安装	c=89 d=0.0780817 t=331009
an zhuang bao 	安装包	c=8 d=2.54775e-120 t=331009
an zhuang de 	安装的	c=1 d=3.13596e-152 t=331009
an zhuang fei 	安装费	c=1 d=5.26793e-78 t=331009
an zhuang wan 	安装完	c=1 d=0 t=331009
an zhuang wei zhi 	安装位置	c=1 d=0 t=331009
an zhun 	案准	c=1 d=5.17434e-73 t=331009
an zhuo 	安卓	c=25 d=1.02402e-36 t=331009
ang 	昂	c=273 d=0.22238 t=331009
ang ang 	昂昂	c=1 d=2.88848e-274 t=331009
ang gui 	昂贵	c=3 d=1.80706e-20 t=331009
ang hai 	昂还	c=2 d=0 t=331009
ao 	奥	c=2 d=1.37139e-187 t=331009
ao 	熬	c=6 d=0.0685632 t=331009
ao ao 	熬熬	c=1 d=8.49951e-147 t=331009
ao ben 	奥本	c=0 d=3.1666e-91 t=331009
ao ben hai mo 	奥本海默	c=1 d=3.18247e-90 t=331009
ao bi 	澳币	c=1 d=1.05946e-150 t=331009
ao bu zhi 	熬不止	c=1 d=1 t=306241
ao bu zhu 	熬不住	c=0 d=0.1 t=306513
ao cheng 	奥城	c=7 d=4.10363e-22 t=331009
ao cheng li 	奥城里	c=1 d=1.97056e-274 t=331009
ao cheng shang ye guang chang 	奥城商业广场	c=1 d=0 t=331009
ao da li ya 	澳大利亚	c=4 d=1.86636e-135 t=331009
ao dao 	熬到	c=0 d=2.43142e-130 t=331009
ao dao tou 	熬到投	c=1 d=2.44361e-129 t=331009
ao la 	奥拉	c=1 d=0 t=331009
ao long dan 	奥龙胆	c=1 d=0 t=331009
ao men 	澳门	c=1 d=2.46006e-296 t=331009
ao ping bi 	奥屏蔽	c=1 d=0 t=331009
ao qing fo 	嗷清佛	c=1 d=0 t=331009
ao te 	奥特	c=2 d=5.40576e-264 t=331009
ao te man 	奥特曼	c=4 d=2.17045e-58 t=331009
ao ye 	熬夜	c=1 d=1.33707e-35 t=331009
ao yun 	奥运	c=1 d=0 t=331009
ao zhou 	澳洲	c=4 d=4.19723e-52 t=331009
ba 	八	c=4 d=1.88319e-123 t=331009
ba 	叭	c=1 d=0 t=331009
ba 	吧	c=5151 d=2.84947 t=331009
ba 	巴	c=2 d=8.61302e-156 t=331009
ba 	扒	c=1 d=0 t=331009
ba 	把	c=437 d=1.10147 t=331009
ba 	拔	c=1 d=1.18867e-239 t=331009
ba 	爸	c=3 d=7.69017e-96 t=331009
ba 	靶	c=1 d=0 t=331009
ba ang 	吧昂	c=1 d=7.37883e-160 t=331009
ba ba 	巴巴	c=1 d=0 t=331009
ba ba 	爸爸	c=1 d=0 t=331009
ba bai 	八百	c=0 d=0 t=331009
ba bai hui 	八百回	c=1 d=0 t=331009
ba bing 	把柄	c=2 d=1 t=310808
ba bu de 	巴不得	c=1 d=6.05613e-277 t=331009
ba ge 	八个	c=0 d=0 t=331009
ba ge xiao shi 	八个小时	c=1 d=0 t=331009
ba gua 	八卦	c=2 d=2.76527e-153 t=331009
ba ji 	巴唧	c=1 d=7.71971e-16 t=331009
ba jian 	拔尖	c=1 d=0 t=331009
ba jing 	八景	c=0 d=9.64472e-282 t=331009
ba kong 	吧空	c=1 d=0 t=331009
ba kong 	把控	c=2 d=4.17789e-174 t=331009
ba kong neng li 	把控能力	c=1 d=0 t=331009
ba le 	拔了	c=1 d=9.8449e-258 t=331009
ba lei te 	巴雷特	c=1 d=1.3963e-280 t=331009
ba li 	巴黎	c=1 d=6.43687e-25 t=331009
ba li tie ta 	巴黎铁塔	c=1 d=6.46913e-24 t=331009
ba ling jiu ling 	八零九零	c=1 d=0 t=331009
ba mian 	疤面	c=1 d=1.0305e-118 t=331009
ba ni 	把你	c=1 d=0 t=331009
ba qi 	霸气	c=1 d=1.07138e-17 t=331009
ba sa 	巴萨	c=1 d=0 t=331009
ba shi 	八十	c=0 d=2.14267e-172 t=331009
ba shi 	巴士	c=1 d=3.88894e-125 t=331009
ba shi qi 	八十七	c=1 d=2.15341e-171 t=331009
ba shou 	把手	c=1 d=0 t=331009
ba ta 	把它	c=1 d=0 t=331009
ba wang 	霸王	c=0 d=1.59094e-140 t=331009
ba wang tiao kuan 	霸王条款	c=1 d=1.59892e-139 t=331009
ba wei 	八位	c=1 d=2.16989e-290 t=331009
ba wo 	把我	c=1 d=0 t=331009
ba wo 	把握	c=1 d=0 t=331009
ba xi 	巴西	c=2 d=1.2528e-122 t=331009
ba ya 	拔牙	c=1 d=1.25771e-168 t=331009
ba yue 	八月	c=3 d=2.63259e-123 t=331009
ba zhan 	扒站	c=1 d=1.04971e-100 t=331009
ba zi 	把子	c=0 d=3.8518e-72 t=331009
ba zi rou 	吧子肉	c=1 d=3.83259e-71 t=331009
ba zi rou 	把子肉	c=1 d=3.87111e-71 t=331009
bai 	呗	c=138 d=0.99005 t=331009
bai 	拜	c=1 d=0 t=331009
bai 	掰	c=1 d=4.12537e-231 t=331009
bai 	白	c=24 d=0.00379148 t=331009
bai 	百	c=2 d=1.37386e-119 t=331009
bai ban 	白板	c=5 d=5.43516e-10 t=331009
bai ban 	白班	c=2 d=0 t=331009
bai cai 	白菜	c=1 d=1.48618e-308 t=331009
bai che 	掰撤	c=1 d=5.09578e-187 t=331009
bai che 	白扯	c=3 d=2.18705e-30 t=331009
bai di 	白底	c=1 d=0 t=331009
bai du 	摆渡	c=0 d=0 t=331009
bai du 	百度	c=27 d=9.03577e-14 t=331009
bai du bai ke 	百度百科	c=1 d=0 t=331009
bai du di tu 	百度地图	c=1 d=1.62955e-127 t=331009
bai du yun 	百度云	c=2 d=2.50241e-144 t=331009
bai e gao jiao zhu 	白额高脚蛛	c=1 d=9.02999e-124 t=331009
bai fei 	白费	c=1 d=2.61653e-198 t=331009
bai fen bai 	百分百	c=2 d=0 t=331009
bai fen bi 	百分比	c=4 d=8.13719e-103 t=331009
bai fen zhi 	百分之	c=5 d=3.55362e-123 t=331009
bai ge tan 	摆个摊	c=1 d=1 t=307826
bai gei 	败给	c=1 d=1.67109e-129 t=331009
bai gei 	白给	c=1 d=1.67947e-129 t=331009
bai huo 	摆活	c=1 d=0 t=331009
bai jiu 	摆酒	c=1 d=1.10845e-123 t=331009
bai jiu 	白酒	c=1 d=1.11401e-123 t=331009
bai ke 	百科	c=7 d=1.17416e-124 t=331009
bai lan 	摆烂	c=1 d=0 t=331009
bai leng 	摆楞	c=1 d=1.73799e-179 t=331009
bai mai 	白买	c=1 d=1.6356e-53 t=331009
bai ming dan 	白名单	c=1 d=0 t=331009
bai pao 	白跑	c=2 d=0.287941 t=331009
bai pi shu 	白皮书	c=1 d=2.92943e-174 t=331009
bai ping 	白屏	c=12 d=6.75545e-114 t=331009
bai ren 	拜仁	c=1 d=0 t=331009
bai ren 	白人	c=1 d=0 t=331009
bai se 	白色	c=9 d=2.65831e-61 t=331009
bai shi 	百事	c=1 d=0 t=331009
bai shou 	拜受	c=0 d=0 t=331009
bai shou 	百兽	c=1 d=0 t=331009
bai sui 	百岁	c=0 d=0.1 t=314900
bai sui shan 	百岁山	c=1 d=1 t=314901
bai tan 	摆摊	c=6 d=1.30341e-50 t=331009
bai tuo 	摆脱	c=1 d=0 t=331009
bai xia 	白瞎	c=1 d=9.57952e-25 t=331009
bai ye 	白夜	c=1 d=5.90957e-136 t=331009
bai yi 	百亿	c=1 d=3.65814e-258 t=331009
bai yuan 	百元	c=3 d=1.00443e-52 t=331009
bai zheng 	白整	c=1 d=2.23358e-13 t=331009
ban 	半	c=22 d=3.26783e-19 t=331009
ban 	拌	c=1 d=2.71674e-199 t=331009
ban 	搬	c=19 d=3.28418e-19 t=331009
ban 	板	c=2 d=1.25437e-78 t=331009
ban 	版	c=80 d=7.10331e-06 t=331009
ban 	班	c=13 d=1.75336e-18 t=331009
ban 	瓣	c=1 d=4.14605e-231 t=331009
ban 	般	c=1 d=0 t=331009
ban 	办	c=34 d=0.384812 t=331009
ban ban 	办班	c=2 d=0 t=331009
ban bao 	半包	c=2 d=1.75721e-182 t=331009
ban bao 	班报	c=1 d=0 t=331009
ban ben 	版本	c=240 d=0.235746 t=331009
ban ben fa 	版本发	c=1 d=5.96471e-157 t=331009
ban ben hao 	版本号	c=70 d=1.25372e-10 t=331009
ban ben xia 	版本下	c=1 d=1.35217e-167 t=331009
ban bu liao 	搬不了	c=1 d=0 t=331009
ban ci 	班次	c=4 d=0 t=331009
ban ci 	颁赐	c=1 d=0 t=331009
ban dao 	半道	c=1 d=0 t=331009
ban dao 	搬到	c=2 d=3.89118e-73 t=331009
ban dian 	半点	c=0 d=4.02678e-124 t=331009
ban dian xin 	半点心	c=3 d=8.20325e-112 t=331009
ban fa 	办法	c=22 d=5.00707e-10 t=331009
ban fa 	颁发	c=1 d=1.0639e-111 t=331009
ban fan 	拌饭	c=0 d=2.47514e-75 t=331009
ban ge 	半个	c=1 d=2.66493e-149 t=331009
ban ge xiao shi 	半个小时	c=5 d=3.55589e-13 t=331009
ban geng 	版更	c=1 d=0 t=331009
ban gong 	办公	c=31 d=2.17146e-11 t=331009
ban gong ma 	办公吗	c=1 d=0 t=331009
ban gong shi 	办公室	c=1 d=0 t=331009
ban gong wei 	办公位	c=1 d=0 t=331009
ban gong yong pin 	办公用品	c=1 d=1.63744e-125 t=331009
ban gong zhuo 	办公桌	c=1 d=1.07977e-285 t=331009
ban hao 	办好	c=1 d=0 t=331009
ban hu kou 	办户口	c=1 d=1.0764e-307 t=331009
ban hun li 	版婚礼	c=1 d=0 t=331009
ban ji 	班级	c=6 d=2.5193e-127 t=331009
ban jia 	搬家	c=2 d=3.37108e-78 t=331009
ban jiao 	半角	c=1 d=1 t=327211
ban jiao shi 	绊脚石	c=1 d=8.03749e-19 t=331009
ban jin ba liang 	半斤八两	c=1 d=3.35719e-248 t=331009
ban jing 	半径	c=1 d=1.44201e-306 t=331009
ban le 	办了	c=1 d=5.46287e-270 t=331009
ban li 	办理	c=18 d=1.99433e-33 t=331009
ban li ren 	办理人	c=1 d=5.88868e-65 t=331009
ban lou 	板楼	c=1 d=0 t=331009
ban lv 	伴侣	c=2 d=8.69218e-146 t=331009
ban ma 	斑马	c=2 d=0 t=331009
ban ma wen 	斑马纹	c=5 d=0 t=331009
ban meng ban xing 	半梦半醒	c=3 d=5.46619e-189 t=331009
ban nian 	半年	c=7 d=5.21866e-55 t=331009
ban quan 	版权	c=1 d=0 t=331009
ban tian 	半天	c=15 d=5.68656e-07 t=331009
ban ting 	办停	c=2 d=1.58675e-49 t=331009
ban wa gong 	搬瓦工	c=2 d=1.30163e-160 t=331009
ban wa gong 	版瓦工	c=3 d=4.99614e-302 t=331009
ban wan 	搬完	c=1 d=1 t=312589
ban wan 	办完	c=1 d=2.80538e-165 t=331009
ban wen 	斑纹	c=1 d=4.25011e-111 t=331009
ban xia lai 	办下来	c=1 d=2.19796e-206 t=331009
ban xiao shi 	半小时	c=5 d=9.53174e-25 t=331009
ban yan 	扮演	c=5 d=3.50653e-53 t=331009
ban yan 	板岩	c=1 d=4.5969e-122 t=331009
ban yuan 	半圆	c=1 d=0 t=331009
ban yun 	搬运	c=1 d=0 t=331009
ban zhen 	半真	c=2 d=0 t=331009
ban zhen hao 	半真好	c=2 d=0 t=331009
ban zhou fang 	版周方	c=1 d=0 t=331009
ban zhuang feng 	版装疯	c=1 d=0 t=331009
ban zou 	伴奏	c=4 d=1.48137e-123 t=331009
ban zu 	班组	c=28 d=2.23748e-151 t=331009
bang 	帮	c=17 d=7.15703e-07 t=331009
bang 	棒	c=1 d=1 t=310713
bang 	榜	c=1 d=0 t=331009
bang 	磅	c=1 d=0 t=331009
bang 	绑	c=10 d=0 t=331009
bang bang mang 	帮帮忙	c=1 d=0 t=331009
bang ding 	绑定	c=40 d=5.89307e-16 t=331009
bang ding guan xi 	绑定关系	c=1 d=0 t=331009
bang ding qian bao 	绑定钱包	c=1 d=5.92261e-15 t=331009
bang ge mang 	帮个忙	c=1 d=7.51174e-76 t=331009
bang le 	帮了	c=1 d=3.49765e-289 t=331009
bang mang 	帮忙	c=49 d=0.141465 t=331009
bang mang wen wen 	帮忙问问	c=1 d=0.00904991 t=331009
bang men 	邦门	c=1 d=0 t=331009
bang meng 	绑孟	c=1 d=1.83507e-142 t=331009
bang mian 	帮面	c=3 d=1.95751e-75 t=331009
bang ni 	帮你	c=1 d=9.3062e-08 t=331009
bang nin 	帮您	c=2 d=0 t=331009
bang qiu 	棒球	c=1 d=0 t=331009
bang shou 	帮手	c=1 d=1.24774e-192 t=331009
bang wo 	帮我	c=18 d=1.40906e-05 t=331009
bang zhe 	帮着	c=1 d=0 t=331009
bang zhu 	帮助	c=6 d=9.32522e-32 t=331009
bao 	保	c=3 d=1.16902e-48 t=331009
bao 	包	c=290 d=0.0767359 t=331009
bao 	报	c=67 d=1.02919e-15 t=331009
bao 	宝	c=2 d=4.41844e-68 t=331009
bao 	抱	c=1 d=1 t=310021
bao 	暴	c=1 d=0 t=331009
bao 	爆	c=1 d=1.56608e-42 t=331009
bao 	饱	c=2 d=0 t=331009
bao bao 	宝宝	c=1 d=0 t=331009
bao bei 	报备	c=4 d=5.83427e-182 t=331009
bao biao 	保镖	c=2 d=0 t=331009
bao biao 	报表	c=161 d=0.000107676 t=331009
bao bu bao 	包不包	c=1 d=1 t=305489
bao bu bao cun 	包不保存	c=1 d=0 t=331009
bao bu bao kuo 	保不包括	c=1 d=1 t=305487
bao bu dao 	包不到	c=1 d=2.44946e-304 t=331009
bao can 	报餐	c=1 d=0 t=331009
bao cang 	爆仓	c=1 d=5.24467e-26 t=331009
bao cang 	爆舱	c=1 d=5.21851e-26 t=331009
bao chi 	保持	c=58 d=0.000645852 t=331009
bao chi yi zhi 	保持一致	c=3 d=6.76092e-43 t=331009
bao cun 	保存	c=308 d=2.38079e-05 t=331009
bao cun de 	保存的	c=1 d=0 t=331009
bao cun dian 	保存点	c=1 d=1.08946e-08 t=331009
bao cuo 	报错	c=310 d=0.000450569 t=331009
bao dan 	爆单	c=1 d=6.76421e-225 t=331009
bao dao 	报道	c=5 d=1.96623e-33 t=331009
bao de 	报的	c=1 d=0 t=331009
bao ding 	保定	c=1 d=1.1858e-93 t=331009
bao ding 	宝鼎	c=1 d=1.17988e-93 t=331009
bao fei 	报废	c=15 d=3.75886e-19 t=331009
bao fei nian xian 	报废年限	c=1 d=0 t=331009
bao feng 	暴风	c=1 d=4.21127e-151 t=331009
bao feng yi zu 	暴风一族	c=2 d=8.48596e-150 t=331009
bao fu 	包袱	c=1 d=6.73314e-24 t=331009
bao gao 	报告	c=5 d=1.03573e-60 t=331009
bao ge 	饱嗝	c=4 d=0 t=331009
bao guan 	保管	c=2 d=3.19982e-07 t=331009
bao guan li 	包管理	c=4 d=3.94595e-62 t=331009
bao guan li gong ju 	包管理工具	c=1 d=3.96573e-61 t=331009
bao guan li qi 	包管理器	c=4 d=3.0773e-77 t=331009
bao guan ren 	保管人	c=1 d=0 t=331009
bao guo 	包裹	c=14 d=0.000281089 t=331009
bao han 	包含	c=14 d=1.6768e-43 t=331009
bao han 	包涵	c=54 d=0.000115881 t=331009
bao han kuai 	包含块	c=3 d=1.35359e-86 t=331009
bao hao 	保号	c=2 d=7.6284e-108 t=331009
bao hu 	保护	c=2 d=0.0144798 t=331009
bao hui 	抱回	c=1 d=1 t=316628
bao ji 	包机	c=2 d=0 t=331009
bao jia 	报价	c=8 d=0.00121259 t=331009
bao jian 	宝剑	c=1 d=0 t=331009
bao jiao zi 	包饺子	c=1 d=4.34307e-189 t=331009
bao jie 	保洁	c=2 d=3.26891e-23 t=331009
bao jing 	报警	c=39 d=1.70675e-119 t=331009
bao jing ji lu 	报警记录	c=2 d=0 t=331009
bao jiu 	保久	c=1 d=1.36752e-94 t=331009
bao jiu ye 	包就业	c=1 d=0 t=331009
bao kao 	报考	c=1 d=8.51434e-285 t=331009
bao kun 	包困	c=1 d=0 t=331009
bao kuo 	包括	c=75 d=1.66699e-12 t=331009
bao le 	饱了	c=4 d=5.72048e-77 t=331009
bao li 	暴力	c=1 d=1.2746e-266 t=331009
bao li jin 	宝丽金	c=1 d=3.69927e-125 t=331009
bao liu 	保留	c=42 d=0.018968 t=331009
bao lu 	暴露	c=22 d=9.09837e-07 t=331009
bao luan 	暴乱	c=2 d=4.39326e-258 t=331009
bao ma 	宝马	c=1 d=1.42213e-231 t=331009
bao mang 	包忙	c=1 d=4.33362e-134 t=331009
bao mi 	保密	c=1 d=4.07867e-147 t=331009
bao mi xie yi 	保密协议	c=1 d=3.74345e-147 t=331009
bao mo 	薄膜	c=1 d=0 t=331009
bao ni ping an 	保你平安	c=2 d=4.98214e-157 t=331009
bao nuan 	保暖	c=1 d=8.33236e-178 t=331009
bao nuan 	饱暖	c=1 d=8.2908e-178 t=331009
bao pi 	暴皮	c=1 d=8.81725e-167 t=331009
bao qian 	抱歉	c=4 d=9.49368e-88 t=331009
bao quan 	保全	c=1 d=1 t=305409
bao sha cuo 	报啥错	c=1 d=1.20311e-234 t=331009
bao shi jie 	保时捷	c=1 d=0 t=331009
bao shou 	抱守	c=1 d=3.56478e-248 t=331009
bao shou 	饱受	c=0 d=3.4942e-249 t=331009
bao shou gu ji 	饱受估计	c=1 d=3.51171e-248 t=331009
bao shui 	报税	c=2 d=1.93707 t=309668
bao ta 	宝塔	c=2 d=1.75001e-17 t=331009
bao wei zhan 	保卫战	c=1 d=9.53671e-145 t=331009
bao wen 	保温	c=1 d=5.23614e-95 t=331009
bao wen 	报文	c=5 d=3.21193e-22 t=331009
bao wen duan 	报文段	c=2 d=4.77132e-110 t=331009
bao wen zhong 	报文中	c=1 d=4.33597e-111 t=331009
bao xian 	保险	c=9 d=0.0468877 t=331009
bao xian 	保鲜	c=0 d=8.38716e-21 t=331009
bao xian dai 	保险袋	c=1 d=8.18008e-20 t=331009
bao xian dai 	保鲜袋	c=1 d=8.4292e-20 t=331009
bao xian xiang 	保险箱	c=1 d=0 t=331009
bao xiu 	报修	c=2 d=8.40689e-77 t=331009
bao xiu qi 	保修期	c=1 d=3.40271e-230 t=331009
bao yang 	保养	c=16 d=2.82684e-137 t=331009
bao yin 	爆音	c=1 d=3.58608e-318 t=331009
bao ying 	报应	c=1 d=1 t=302512
bao you 	包邮	c=1 d=0 t=331009
bao you 	抱有	c=1 d=0 t=331009
bao zhang 	报障	c=3 d=7.10717e-140 t=331009
bao zheng 	保证	c=15 d=2.84354e-05 t=331009
bao zhi 	爆汁	c=2 d=4.99925e-21 t=331009
bao zhuang 	包装	c=3 d=1.09451e-33 t=331009
bao zhun 	保准	c=1 d=2.17639e-237 t=331009
bao zi 	包子	c=14 d=2.51255e-74 t=331009
bao zou 	暴走	c=2 d=3.66098e-180 t=331009
bei 	倍	c=8 d=2.67309e-38 t=331009
bei 	北	c=7 d=2.21505e-62 t=331009
bei 	悲	c=1 d=2.76089e-124 t=331009
bei 	背	c=6 d=4.08566e-146 t=331009
bei 	被	c=247 d=0.750845 t=331009
bei ai 	悲哀	c=2 d=1.73564e-310 t=331009
bei ai 	被爱	c=1 d=0 t=331009
bei an 	备案	c=10 d=3.00947e-65 t=331009
bei bei 	背背	c=1 d=3.13542e-150 t=331009
bei bian 	北边	c=1 d=1 t=304750
bei cai 	被裁	c=1 d=4.62796e-113 t=331009
bei chen 	北辰	c=4 d=4.96696e-54 t=331009
bei ci 	被辞	c=2 d=3.10843e-19 t=331009
bei da 	北大	c=4 d=1.34129e-07 t=331009
bei dai li 	被代理	c=1 d=0 t=331009
bei dan ci 	背单词	c=2 d=1.76815e-58 t=331009
bei dan zi 	被单子	c=1 d=3.52488e-292 t=331009
bei dao 	北岛	c=6 d=1.89993e-128 t=331009
bei de 	背的	c=1 d=2.72749e-216 t=331009
bei dian 	备点	c=2 d=2.33637e-238 t=331009
bei dong 	被动	c=1 d=8.67676e-37 t=331009
bei dui 	背对	c=1 d=3.74971e-196 t=331009
bei er 	贝尔	c=0 d=0 t=331009
bei er qu xian 	贝尔曲线	c=2 d=0 t=331009
bei fang 	北房	c=1 d=0 t=331009
bei fang 	北方	c=9 d=0.392586 t=331009
bei fen 	备份	c=10 d=2.82086e-24 t=331009
bei fen 	辈份	c=1 d=7.28896e-16 t=331009
bei feng 	被封	c=1 d=0 t=331009
bei gao ren 	被告人	c=1 d=3.13616e-94 t=331009
bei jian 	备件	c=73 d=1.77418e-149 t=331009
bei jian lei xing 	备件类型	c=1 d=0 t=331009
bei jing 	北京	c=73 d=0.0792617 t=331009
